Category 0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 Total 
0 154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5420 3356 8930 
1 0 11654 691 1019 943 764 805 642 415 385 364 499 444 315 343 461 494 435 484 481 584 796 130553 0 0 153571 
2 0 23055 497 418 417 206 177 114 126 70 47 64 102 122 89 73 66 34 46 37 26 43 2550 0 0 28379 
3 0 23461 377 366 104 172 134 99 95 82 112 64 72 39 70 90 132 169 115 50 68 109 115828 0 0 141808 
4 0 77585 1671 1542 1747 1424 1531 1417 944 736 857 1076 753 698 844 873 1450 2145 1333 1255 1556 2474 1468789 0 0 1572700 
5 0 265905 11232 8801 7112 5673 4120 3827 3032 3129 3202 2456 2364 2526 2454 2176 1738 1492 1282 1038 835 1444 231125 0 0 566963 
6 0 28869 3780 2211 1759 1893 2932 2219 1728 1293 1229 1265 909 852 646 627 558 449 356 275 215 432 93786 0 0 148283 
7 0 4416 101 63 36 50 33 21 25 18 14 14 4 18 12 8 7 13 15 12 4 12 1019 0 0 5915 
8 0 36311 572 463 448 277 165 150 119 147 99 63 76 99 98 80 70 82 69 72 83 113 7071 0 0 46727 
9 0 232733 5710 4596 4250 3745 2808 2195 1857 1667 1495 1418 1315 1261 1214 1178 1110 957 837 616 502 539 68392 0 0 340395 
10 0 86431 4570 4322 4522 3957 3442 3208 2946 3206 2431 2047 1844 2551 2074 1930 2118 2184 1892 1287 1158 1378 192708 0 0 332206 
11 0 317739 14389 15220 18083 16610 12757 7884 5475 5498 3354 2789 3760 2947 3403 3080 3489 2980 3113 2863 2964 3693 452796 0 0 904886 
12 0 270316 6285 3846 4137 2539 1909 1681 1324 1171 1010 943 718 803 792 576 496 566 506 415 333 500 55737 0 0 356603 
13 0 389024 8402 6855 5576 5187 3960 3463 3096 2742 2478 2229 2208 2039 2230 2199 1847 1297 1306 1235 1074 1515 137418 0 0 587380 
14 0 208297 11752 12610 11724 12776 10035 9740 7716 7427 5121 4252 3647 3124 3554 3853 3880 5423 4345 4926 4400 6822 893417 0 0 1238841 
15 0 24337 2694 1533 1007 683 638 451 401 638 347 465 581 386 325 888 405 128 133 183 57 155 20872 0 0 57307 
16 0 140300 3588 2559 2339 1577 1075 976 1015 870 716 651 692 589 526 490 442 409 412 436 472 342 38388 0 0 198864 
17 0 43590 2331 2151 1499 1085 769 627 471 727 545 400 441 690 430 404 323 236 180 167 159 218 39869 0 0 97312 
18 0 31175 2972 2536 2035 2602 1898 1161 967 1075 941 1235 946 1527 1802 1106 808 544 516 309 378 542 193623 0 0 250698 
19 0 31289 355 231 161 137 128 106 116 98 80 66 73 68 48 56 65 53 40 58 43 49 10522 0 0 43842 
20 0 25542 1988 1064 853 582 538 379 183 273 193 391 246 251 230 377 213 98 168 101 85 154 18640 0 0 52549 
21 0 225308 3670 2684 1930 1389 1095 886 772 664 498 582 491 430 437 361 318 281 324 280 266 340 31047 0 0 274053 
22 0 68869 3777 4988 5286 3961 4210 2365 2111 1156 694 677 1491 1230 1192 1045 1499 1709 1723 1507 1375 1742 123671 0 0 236278 
23 0 54178 1021 763 592 516 516 401 392 330 186 151 149 171 255 333 386 554 310 414 593 684 160104 0 0 222999 
24 0 48026 2050 1616 1595 1030 850 853 708 558 553 548 413 433 373 327 319 291 343 394 365 253 32450 0 0 94348 
25 0 203644 1838 1379 953 860 670 549 504 442 402 379 328 300 279 235 199 143 166 214 191 137 34576 0 0 248388 
26 0 17900 520 395 320 190 91 67 69 61 70 38 46 58 51 38 35 31 25 12 22 39 1511 0 0 21589 
27 0 102160 3472 3183 2404 3070 2242 2082 1788 1767 1463 1312 1341 1694 1916 2054 2132 1638 1559 957 619 736 135109 0 0 274698 
Total 154 2992114 100305 87414 81832 72955 59528 47563 38395 36230 28501 26074 25454 25221 25687 24918 24599 24341 21598 19594 18427 25261 4691571 5420 3356 8506512 
